module,locus_tag,gene_weight,accession,start,end,strand,product,old_locus_tag,Description,Preferred_name,PFAMs,Protein names,Length,Protein families,Gene Ontology (GO),Gene Ontology (molecular function),regulator
0,Atu3009,0.1403612669580083,NC_003063.2,5510.0,6577.0,+,exopolysaccharide production protein,AGR_L_3583,Exopolysaccharide production protein,exoZ,"Acyl_transf_3,Glyco_hydro_16",Exopolysaccharide production protein,355.0,,"membrane [GO:0016020]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",
0,Atu3008,0.1498386991598038,NC_003063.2,5178.0,5372.0,+,hypothetical protein,,,,,Uncharacterized protein,64.0,,,,
0,Atu3006,0.1362435908220289,NC_003063.2,3393.0,4811.0,-,hypothetical protein,AGR_L_3586,O-antigen ligase like membrane protein,-,-,Exopolysaccharide biosynthesis protein,472.0,,membrane [GO:0016020],,
0,Atu3005,0.1580093060960246,NC_003063.2,2585.0,2986.0,+,hypothetical protein,AGR_L_3588,-,-,-,Uncharacterized protein,133.0,,,,
0,Atu3019,0.1255583996315969,NC_003063.2,11703.0,12239.0,-,conserved hypothetical protein,AGR_L_3569,,,,Signal peptide protein,178.0,,membrane [GO:0016020],,
0,Atu3001,0.1607880659530116,NC_003063.2,943.0,1656.0,-,hypothetical protein,AGR_L_3592,-,-,-,Peptidase MA-like domain-containing protein,237.0,,,,
0,Atu4873,0.0727399622795176,NC_003063.2,2055897.0,2056469.0,-,transcriptional regulator%2C TetR family,AGR_L_32,"Bacterial regulatory proteins, tetR family",-,TetR_N,"Transcriptional regulator, TetR family",190.0,,DNA binding [GO:0003677],DNA binding [GO:0003677],
0,Atu4875,0.0879825346047234,NC_003063.2,2057365.0,2057766.0,+,conserved hypothetical protein,AGR_L_30,SnoaL-like domain,-,SnoaL_2,SnoaL-like domain-containing protein,133.0,,,,
0,Atu8202,0.1412625988430532,NC_003063.2,2064653.0,2064910.0,+,conserved hypothetical protein,AGR_L_16,-,-,-,Uncharacterized protein,85.0,,,,
0,Atu8201,0.1173654150312337,NC_003063.2,2064459.0,2064656.0,+,conserved hypothetical protein,AGR_L_17,Uncharacterized small protein (DUF2158),-,DUF2158,DUF2158 domain-containing protein,65.0,,,,
0,Atu8093,0.0721030203599684,NC_003063.2,21120.0,22289.0,+,hypothetical protein,AGR_L_3555,GDSL-like Lipase/Acylhydrolase family,-,Lipase_GDSL_2,SGNH hydrolase-type esterase domain-containing protein,389.0,,"hydrolase activity, acting on ester bonds [GO:0016788]","hydrolase activity, acting on ester bonds [GO:0016788]",
0,Atu4897,0.1415474807672212,NC_003063.2,2074353.0,2074757.0,-,hypothetical protein,AGR_L_1,-,-,-,Signal peptide protein,134.0,,,,
0,Atu4896,0.1676144045425912,NC_003063.2,2073557.0,2074105.0,-,acetyltransferase,AGR_L_4,"Acetyltransferases, including N-acetylases of ribosomal proteins",-,Acetyltransf_3,Acetyltransferase,182.0,,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",
0,Atu4894,0.1420521815555891,NC_003063.2,2071162.0,2072664.0,+,transposase,AGR_L_6,Transposase and inactivated derivatives,-,"Sigma70_r4_2,rve",Transposase,500.0,,nucleic acid binding [GO:0003676]; DNA integration [GO:0015074],nucleic acid binding [GO:0003676],
0,Atu4874,0.0762338074592475,NC_003063.2,2056525.0,2056959.0,+,hypothetical protein,AGR_L_31,NIPSNAP family containing protein,-,-,DUF1330 domain-containing protein,144.0,,,,
0,Atu4892,0.1440989250878318,NC_003063.2,2068075.0,2070168.0,+,hypothetical protein,AGR_L_8,N-6 DNA Methylase,-,N6_Mtase,site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72),697.0,N(4)/N(6)-methyltransferase family,DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]; DNA restriction-modification system [GO:0009307],DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007],
0,Atu4890,0.1593809640590531,NC_003063.2,2066597.0,2067421.0,-,IS426 transposase,AGR_L_10,HTH-like domain,-,"HTH_21,rve,rve_3",IS426 transposase,274.0,,nucleic acid binding [GO:0003676]; DNA integration [GO:0015074],nucleic acid binding [GO:0003676],
0,Atu4889,0.1500111603717262,NC_003063.2,2065797.0,2066600.0,+,hypothetical protein,AGR_L_11,N-6 DNA Methylase,-,N6_Mtase,Uncharacterized protein,267.0,,,,
0,Atu4893,0.1574916721980083,NC_003063.2,2070165.0,2070875.0,+,hypothetical protein,AGR_L_7,-,-,-,Restriction endonuclease,236.0,,,,
0,Atu4887,0.1388232747974992,NC_003063.2,2064949.0,2065299.0,+,hypothetical protein,AGR_L_13,,,,Uncharacterized protein,116.0,,,,
0,Atu4888,0.1522465257557994,NC_003063.2,2065436.0,2065726.0,+,hypothetical protein,AGR_L_12,-,-,-,DNA-binding protein,96.0,,,,
0,Atu4877,0.1018056044215436,NC_003063.2,2059135.0,2059884.0,+,short-chain dehydrogenase,AGR_L_28,short-chain dehydrogenase reductase,-,adh_short_C2,Short-chain dehydrogenase,249.0,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],
0,Atu4878,0.1049085394093451,NC_003063.2,2059926.0,2060339.0,+,conserved hypothetical protein,AGR_L_27,SnoaL-like domain,-,SnoaL_2,SnoaL-like domain-containing protein,137.0,,,,
0,Atu4879,0.1086764921633058,NC_003063.2,2060559.0,2061023.0,-,hypothetical protein,AGR_L_26,,,,Uncharacterized protein,154.0,,,,
0,Atu4876,0.0943574968527047,NC_003063.2,2057922.0,2058983.0,+,putative oxidoreductase,AGR_L_29,Aldo/keto reductase family,-,Aldo_ket_red,Oxidoreductase,353.0,,,,
0,Atu4881,0.1201778134888459,NC_003063.2,2062328.0,2062729.0,-,hypothetical protein,AGR_L_23,,,,Uncharacterized protein,133.0,,,,
0,Atu4882,0.1260482417205342,NC_003063.2,2063159.0,2063341.0,+,hypothetical protein,AGR_L_21,,,,,,,,,
0,Atu4884,0.137650737890098,NC_003063.2,2063733.0,2064176.0,+,conserved hypothetical protein,AGR_L_19,copG family,-,RHH_1,Uncharacterized protein,147.0,,,,
0,Atu4880,0.1112242335599143,NC_003063.2,2061380.0,2062297.0,+,transcriptional regulator%2C AraC family,AGR_L_24,Transcriptional regulator,-,"AraC_N,HTH_18","Transcriptional regulator, AraC family",305.0,,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],
1,Atu3795,-0.1112429292212583,NC_003063.2,888269.0,891340.0,-,AcrB/AcrD/AcrF family protein,AGR_L_2075,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,-,ACR_tran,AcrB/AcrD/AcrF family protein,1023.0,,membrane [GO:0016020]; transmembrane transporter activity [GO:0022857],transmembrane transporter activity [GO:0022857],
1,Atu0031,-0.05889827863861,NC_003062.2,33698.0,34099.0,-,PTS system%2C IIA component,AGR_C_50,"Phosphotransferase system, mannose fructose-specific component IIA",manX,EIIA-man,"PTS system, IIA component",133.0,,membrane [GO:0016020]; kinase activity [GO:0016301]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310],kinase activity [GO:0016301],
1,Atu0141,0.0683448422423613,NC_003062.2,143594.0,145597.0,-,cytochrome O ubiquinol oxidase subunit I,AGR_C_227,Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,cyoB,COX1,Cytochrome O ubiquinol oxidase subunit I,667.0,Heme-copper respiratory oxidase family,"plasma membrane [GO:0005886]; respirasome [GO:0070469]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; aerobic respiration [GO:0009060]","cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]",
1,Atu0142,0.0635764803887022,NC_003062.2,145674.0,146672.0,-,cytochrome o ubiquinol oxidase subunit II,AGR_C_230,ubiquinol oxidase subunit,cyoA,"COX2,COX_ARM",Ubiquinol oxidase subunit 2,332.0,Cytochrome c oxidase subunit 2 family,"plasma membrane [GO:0005886]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome bo3 ubiquinol oxidase activity [GO:0009486]; cytochrome-c oxidase activity [GO:0004129]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]","copper ion binding [GO:0005507]; cytochrome bo3 ubiquinol oxidase activity [GO:0009486]; cytochrome-c oxidase activity [GO:0004129]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]",
1,Atu0188,0.0885955854962142,NC_003062.2,191514.0,192608.0,+,ABC transporter%2C membrane spanning protein (peptide),AGR_C_318,ABC transporter,yejB,BPD_transp_1,"ABC transporter, membrane spanning protein (Peptide)",364.0,Binding-protein-dependent transport system permease family,plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],,
1,Atu0189,0.0741072638890996,NC_003062.2,192608.0,193753.0,+,ABC transporter%2C membrane spanning protein (peptide),AGR_C_319,ABC transporter permease,yejE,"BPD_transp_1,OppC_N","ABC transporter, membrane spanning protein (Peptide)",381.0,Binding-protein-dependent transport system permease family,plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],,
1,Atu0190,0.0866945984982923,NC_003062.2,193759.0,195399.0,+,ABC transporter%2C nucleotide binding/ATPase protein (peptide),AGR_C_320,Belongs to the ABC transporter superfamily,yejF,"ABC_tran,oligo_HPY","ABC transporter, nucleotide binding/ATPase protein (Peptide)",546.0,ABC transporter superfamily,plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptide transport [GO:0015833],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],
1,Atu0257,0.0833596347153867,NC_003062.2,253566.0,254444.0,+,conserved hypothetical protein,AGR_C_441,lipopolysaccharide core region biosynthetic process,-,"APH,Kdo,RIO1",Serine/threonine protein phosphatase,292.0,,,,
1,Atu0361,0.0616320558620413,NC_003062.2,355747.0,356166.0,+,transcriptional regulator,AGR_C_630,transcriptional,MA20_23890,HTH_3,Transcriptional regulator,139.0,,DNA binding [GO:0003677],DNA binding [GO:0003677],
1,Atu3796,-0.1114467278485171,NC_003063.2,891337.0,892422.0,-,efflux protein,AGR_L_2074,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,-,HlyD_D23,Efflux protein,361.0,Membrane fusion protein (MFP) (TC 8.A.1) family,membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]; response to chemical [GO:0042221],transmembrane transporter activity [GO:0022857],
1,Atu3780,0.1087244432349627,NC_003063.2,863192.0,864427.0,+,conserved hypothetical protein,AGR_L_2110,protein conserved in bacteria,-,DUF459,DUF459 domain-containing protein,411.0,,"hydrolase activity, acting on ester bonds [GO:0016788]","hydrolase activity, acting on ester bonds [GO:0016788]",
1,Atu4609,-0.0781448300786789,NC_003063.2,1755953.0,1756873.0,-,glycosyltransferase,AGR_L_538,"Glycosyl transferase, family 2",-,-,Glycosyltransferase,306.0,,,,
1,Atu0434,-0.0774559453862184,NC_003062.2,429508.0,430620.0,+,2'-deoxycytidine 5'-triphosphate deaminase,AGR_C_764,2-deoxycytidine 5-triphosphate deaminase,dcd,DCD,2'-deoxycytidine 5'-triphosphate deaminase,370.0,,dCTP deaminase activity [GO:0008829]; 2'-deoxyribonucleotide metabolic process [GO:0009394],dCTP deaminase activity [GO:0008829],
1,Atu3798,0.1749119865767383,NC_003063.2,893804.0,894418.0,+,transcriptional regulator%2C TetR family,AGR_L_2069,Transcriptional regulator,-,"TetR_C_11,TetR_N","Transcriptional regulator, TetR family",204.0,,DNA binding [GO:0003677],DNA binding [GO:0003677],
1,Atu3779,0.0670199374367778,NC_003063.2,861908.0,863128.0,+,lytic murein transglycosylase,AGR_L_2112,Lytic murein transglycosylase,mltB,"PG_binding_1,SLT_2",Lytic murein transglycosylase,406.0,,,,
1,Atu3886,0.1191361401023566,NC_003063.2,980660.0,981601.0,-,lysophospholipase,AGR_L_1924,Lysophospholipase,pldB,Hydrolase_4,Lysophospholipase,313.0,,,,
1,Atu4072,0.1262624072403702,NC_003063.2,1188681.0,1189169.0,-,nodulation protein N,AGR_L_1567,nodulation protein,nodN,MaoC_dehydratas,Nodulation protein N,162.0,,,,
1,Atu4161,-0.0642269707840351,NC_003063.2,1279506.0,1279712.0,-,conserved hypothetical protein,AGR_L_1385,-,-,-,Anti-sigma factor NepR domain-containing protein,68.0,,,,
1,Atu4217,0.2828115465976495,NC_003063.2,1339277.0,1339864.0,-,transcriptional regulator%2C TetR family,AGR_L_1283,"Bacterial regulatory proteins, tetR family",-,TetR_N,"Transcriptional regulator, TetR family",195.0,,DNA binding [GO:0003677],DNA binding [GO:0003677],
1,Atu4317,-0.0698398076259534,NC_003063.2,1444964.0,1445536.0,+,transcriptional regulator%2C TetR family,AGR_L_1093,"Bacterial regulatory proteins, tetR family",-,TetR_N,"Transcriptional regulator, TetR family",190.0,,DNA binding [GO:0003677],DNA binding [GO:0003677],
1,Atu4608,-0.078659298917651,NC_003063.2,1754100.0,1755953.0,-,conserved hypothetical protein,AGR_L_540,Methyltransferase domain,-,Methyltransf_23,Glycosyltransferase 2-like domain-containing protein,617.0,,,,
1,Atu3797,-0.1066030071049877,NC_003063.2,892422.0,893498.0,-,HlyD family secretion protein,AGR_L_2071,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,-,"Biotin_lipoyl_2,HlyD_3,HlyD_D23",HlyD family secretion protein,358.0,Membrane fusion protein (MFP) (TC 8.A.1) family,membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]; response to chemical [GO:0042221],transmembrane transporter activity [GO:0022857],
1,Atu0479,0.107930299424179,NC_003062.2,467742.0,468503.0,+,ABC transporter%2C substrate binding protein (amino acid),AGR_C_849,"ABC-type amino acid transport signal transduction systems, periplasmic component domain",-,SBP_bac_3,"ABC transporter, substrate binding protein (Amino acid)",253.0,,periplasmic space [GO:0042597],,
1,Atu8167,0.0775182727862669,NC_003062.2,1809644.0,1813027.0,-,putative transmembrane protein,AGR_C_3361,Protein of unknown function,MA20_30770,"AsmA_2,DUF3971",Transmembrane protein,1127.0,,membrane [GO:0016020],,
1,Atu0769,0.0702168650312999,NC_003062.2,765616.0,766569.0,+,protoheme IX farnesyltransferase,AGR_C_1402,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,ctaB,UbiA,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase),317.0,"UbiA prenyltransferase family, Protoheme IX farnesyltransferase subfamily",plasma membrane [GO:0005886]; protoheme IX farnesyltransferase activity [GO:0008495]; heme O biosynthetic process [GO:0048034],protoheme IX farnesyltransferase activity [GO:0008495],Atu1602
1,Atu1499,0.0630140708451155,NC_003062.2,1488694.0,1489866.0,-,penicillin binding protein,AGR_C_2763,Belongs to the peptidase S11 family,dacC,"PBP5_C,Peptidase_S11",serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4),390.0,Peptidase S11 family,serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360],serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002],
1,Atu0533,0.1164308637822659,NC_003062.2,525882.0,526505.0,-,putative inhibitor of septum formation,AGR_C_943,Maf-like protein,maf,Maf,dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase),207.0,"Maf family, YhdE subfamily",cytoplasm [GO:0005737]; dTTP diphosphatase activity [GO:0036218]; UTP diphosphatase activity [GO:0036221]; nucleotide metabolic process [GO:0009117],dTTP diphosphatase activity [GO:0036218]; UTP diphosphatase activity [GO:0036221],
1,Atu1621,0.1808743443852383,NC_003062.2,1605887.0,1606768.0,-,conserved hypothetical protein,AGR_C_2989,carboxylic ester hydrolase activity,-,-,Dienelactone hydrolase domain-containing protein,293.0,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],
1,Atu1644,0.1528511340938261,NC_003062.2,1627675.0,1628280.0,-,conserved hypothetical protein,AGR_C_3031,"transport system, auxiliary component",-,ABC_trans_aux,ABC-type transport auxiliary lipoprotein component domain-containing protein,201.0,,,,
1,Atu1645,0.1028123366172062,NC_003062.2,1628296.0,1629666.0,-,ABC transporter%2C substrate binding protein,AGR_C_3032,"ABC-type transport system involved in resistance to organic solvents, periplasmic component",-,MlaD,"ABC transporter, substrate binding protein",456.0,,membrane [GO:0016020],,
1,Atu1646,0.1144739980568071,NC_003062.2,1629675.0,1630511.0,-,ABC transporter%2C nucleotide binding/ATPase protein,AGR_C_3034,"ABC-type transport system involved in resistance to organic solvents, ATPase component",yrbF,ABC_tran,"ABC transporter, nucleotide binding/ATPase protein",278.0,ABC transporter superfamily,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],
1,Atu1774,0.0936113734459016,NC_003062.2,1758155.0,1760002.0,+,ABC transporter%2C substrate binding protein (peptide),AGR_C_3261,"ABC-type oligopeptide transport system, periplasmic component",nikA,SBP_bac_5,"ABC transporter, substrate binding protein (Peptide)",615.0,Bacterial solute-binding protein 5 family,ATP-binding cassette (ABC) transporter complex [GO:0043190]; outer membrane-bounded periplasmic space [GO:0030288]; transmembrane transport [GO:0055085],,
1,Atu1842,0.0933941050910661,NC_003062.2,1824104.0,1824667.0,+,conserved hypothetical protein,AGR_C_3379,Alpha beta hydrolase,-,Ser_hydrolase,Alpha/beta hydrolase,187.0,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],
1,Atu2207,0.0553931376798727,NC_003062.2,2177183.0,2178562.0,+,two component sensor kinase,AGR_C_4011,Signal transduction histidine kinase,envZ,"HAMP,HATPase_c,HisKA",histidine kinase (EC 2.7.13.3),459.0,,membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155],phosphorelay sensor kinase activity [GO:0000155],
1,Atu2379,-0.0649315411105057,NC_003062.2,2351208.0,2352623.0,+,phosphomannomutase,AGR_C_4315,phosphomannomutase,noeK,"PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV",Phosphomannomutase,471.0,Phosphohexose mutase family,"intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]; carbohydrate metabolic process [GO:0005975]","intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]",
1,Atu2550,0.2333718912378535,NC_003062.2,2521024.0,2522226.0,+,RND multidrug efflux membrane permease,AGR_C_4619,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,acrA,"HlyD,HlyD_D23",RND multidrug efflux membrane permease,400.0,Membrane fusion protein (MFP) (TC 8.A.1) family,membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]; response to chemical [GO:0042221],transmembrane transporter activity [GO:0022857],
1,Atu2551,0.2365626744800938,NC_003062.2,2522280.0,2525369.0,+,RND multidrug efflux transporter,AGR_C_4621,efflux pump,acrB,ACR_tran,Efflux pump membrane transporter,1029.0,Resistance-nodulation-cell division (RND) (TC 2.A.6) family,plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic transport [GO:0042908],efflux transmembrane transporter activity [GO:0015562],
1,Atu3202,0.1649482416493386,NC_003063.2,211435.0,214569.0,-,RND multidrug efflux transporter,AGR_L_3217,efflux pump,acrF,ACR_tran,Efflux pump membrane transporter,1044.0,Resistance-nodulation-cell division (RND) (TC 2.A.6) family,plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic transport [GO:0042908],efflux transmembrane transporter activity [GO:0015562],
